hmdb_id;name;ccl;icl;inchi;gutper
HMDB0008398;PC(20:3(8Z,11Z,14Z)/16:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h14,16-17,19-21,23,25,42H,6-13,15,18,22,24,26-41H2,1-5H3/b16-14-,19-17-,21-20-,25-23-/t42-/m1/s1;1
HMDB0008365;PC(20:3(5Z,8Z,11Z)/16:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h17,19-21,23,25,28,30,42H,6-16,18,22,24,26-27,29,31-41H2,1-5H3/b19-17-,21-20-,25-23-,30-28-/t42-/m1/s1;1
HMDB0008462;PC(20:4(8Z,11Z,14Z,17Z)/16:0);Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23,25,42H,6-7,9,11-13,15,17-19,22,24,26-41H2,1-5H3/b10-8-,16-14-,21-20-,25-23-/t42-/m1/s1;1
HMDB0007982;PC(16:0/20:4(5Z,8Z,11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16,20-21,23,25,29,31,42H,6-13,15,17-19,22,24,26-28,30,32-41H2,1-5H3/b16-14-,21-20-,25-23-,31-29-/t42-/m1/s1;1
HMDB0008014;PC(16:1(9Z)/20:3(8Z,11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16-17,19-21,23,25,42H,6-13,15,18,22,24,26-41H2,1-5H3/b16-14-,19-17-,21-20-,25-23-/t42-/m1/s1;1
HMDB0008013;PC(16:1(9Z)/20:3(5Z,8Z,11Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h17,19-21,23,25,29,31,42H,6-16,18,22,24,26-28,30,32-41H2,1-5H3/b19-17-,21-20-,25-23-,31-29-/t42-/m1/s1;1
HMDB0007983;PC(16:0/20:4(8Z,11Z,14Z,17Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23,25,42H,6-7,9,11-13,15,17-19,22,24,26-41H2,1-5H3/b10-8-,16-14-,21-20-,25-23-/t42-/m1/s1;1
HMDB0008170;PC(18:3(6Z,9Z,12Z)/18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16,20-23,26,28,42H,6-13,15,17-19,24-25,27,29-41H2,1-5H3/b16-14-,22-20-,23-21-,28-26-/t42-/m1/s1;1
HMDB0008169;PC(18:3(6Z,9Z,12Z)/18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16-17,19-20,22,26,28,42H,6-13,15,18,21,23-25,27,29-41H2,1-5H3/b16-14-,19-17-,22-20-,28-26-/t42-/m1/s1;1
HMDB0008138;PC(18:2(9Z,12Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14-17,20-23,42H,6-13,18-19,24-41H2,1-5H3/b16-14-,17-15-,22-20-,23-21-/t42-/m1/s1;1
HMDB0008106;PC(18:1(9Z)/18:3(6Z,9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,27,29,42H,6-14,16,18-19,24-26,28,30-41H2,1-5H3/b17-15-,22-20-,23-21-,29-27-/t42-/m1/s1;1
HMDB0008073;PC(18:1(11Z)/18:3(6Z,9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15-18,21,23,27,29,42H,6-14,19-20,22,24-26,28,30-41H2,1-5H3/b17-15-,18-16-,23-21-,29-27-/t42-/m1/s1;1
HMDB0008234;PC(18:4(6Z,9Z,12Z,15Z)/18:0);Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,26,28,42H,6-7,9,11-13,15,17-19,21,23-25,27,29-41H2,1-5H3/b10-8-,16-14-,22-20-,28-26-/t42-/m1/s1;1
HMDB0008203;PC(18:3(9Z,12Z,15Z)/18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h8,10,14,16,20-23,42H,6-7,9,11-13,15,17-19,24-41H2,1-5H3/b10-8-,16-14-,22-20-,23-21-/t42-/m1/s1;1
HMDB0008202;PC(18:3(9Z,12Z,15Z)/18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h8,10,14,16-17,19-20,22,42H,6-7,9,11-13,15,18,21,23-41H2,1-5H3/b10-8-,16-14-,19-17-,22-20-/t42-/m1/s1;1
HMDB0008107;PC(18:1(9Z)/18:3(9Z,12Z,15Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,20-23,42H,6-8,10,12-14,16,18-19,24-41H2,1-5H3/b11-9-,17-15-,22-20-,23-21-/t42-/m1/s1;1
HMDB0008042;PC(18:0/18:4(6Z,9Z,12Z,15Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,27,29,42H,6-8,10,12-14,16,18-20,22,24-26,28,30-41H2,1-5H3/b11-9-,17-15-,23-21-,29-27-/t42-/m1/s1;1
HMDB0008074;PC(18:1(11Z)/18:3(9Z,12Z,15Z));Glycerophospholipids;Acid;InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15-18,21,23,42H,6-8,10,12-14,19-20,22,24-41H2,1-5H3/b11-9-,17-15-,18-16-,23-21-/t42-/m1/s1;1
HMDB0008422;PC(20:3(8Z,11Z,14Z)/P-16:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)50-41-43(42-52-53(47,48)51-40-38-45(3,4)5)49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,36,39,43H,6-13,15,17-19,21,23,26-35,37-38,40-42H2,1-5H3/b16-14-,22-20-,25-24-,39-36-;1
HMDB0008390;PC(20:3(5Z,8Z,11Z)/P-16:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)50-41-43(42-52-53(47,48)51-40-38-45(3,4)5)49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h20,22,24-25,29,31,36,39,43H,6-19,21,23,26-28,30,32-35,37-38,40-42H2,1-5H3/b22-20-,25-24-,31-29-,39-36-;1
HMDB0011219;PC(P-16:0/20:3(8Z,11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,36,39,43H,6-13,15,17-19,21,23,26-35,37-38,40-42H2,1-5H3/b16-14-,22-20-,25-24-,39-36-;1
HMDB0011218;PC(P-16:0/20:3(5Z,8Z,11Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h20,22,24-25,29,31,36,39,43H,6-19,21,23,26-28,30,32-35,37-38,40-42H2,1-5H3/b22-20-,25-24-,31-29-,39-36-;1
HMDB0013407;PC(O-16:0/20:4(8Z,11Z,14Z,17Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,43H,6-7,9,11-13,15,17-19,21,23,26-42H2,1-5H3/b10-8-,16-14-,22-20-,25-24-/t43-/m1/s1;1
HMDB0013435;PC(O-18:2(9Z,12Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14-17,20-23,43H,6-13,18-19,24-42H2,1-5H3/b16-14-,17-15-,22-20-,23-21-/t43-/m1/s1;1
HMDB0011310;PC(P-18:1(9Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,36,39,43H,6-14,16,18-19,24-35,37-38,40-42H2,1-5H3/b17-15-,22-20-,23-21-,39-36-/t43-/m1/s1;1
HMDB0011245;PC(P-18:0/18:3(6Z,9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,27,29,36,39,43H,6-14,16,18-20,22,24-26,28,30-35,37-38,40-42H2,1-5H3/b17-15-,23-21-,29-27-,39-36-/t43-/m1/s1;1
HMDB0011277;PC(P-18:1(11Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15-18,21,23,36,39,43H,6-14,19-20,22,24-35,37-38,40-42H2,1-5H3/b17-15-,18-16-,23-21-,39-36-/t43-/m1/s1;1
HMDB0011246;PC(P-18:0/18:3(9Z,12Z,15Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,36,39,43H,6-8,10,12-14,16,18-20,22,24-35,37-38,40-42H2,1-5H3/b11-9-,17-15-,23-21-,39-36-;1
HMDB0008162;PC(18:2(9Z,12Z)/P-18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-43(42-52-53(47,48)51-40-38-45(3,4)5)41-50-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,36,39,43H,6-14,16,18-19,24-35,37-38,40-42H2,1-5H3/b17-15-,22-20-,23-21-,39-36-;1
HMDB0008193;PC(18:3(6Z,9Z,12Z)/P-18:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-43(42-52-53(47,48)51-40-38-45(3,4)5)41-50-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,27,29,36,39,43H,6-14,16,18-20,22,24-26,28,30-35,37-38,40-42H2,1-5H3/b17-15-,23-21-,29-27-,39-36-;1
HMDB0008161;PC(18:2(9Z,12Z)/P-18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-43(42-52-53(47,48)51-40-38-45(3,4)5)41-50-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15-18,21,23,36,39,43H,6-14,19-20,22,24-35,37-38,40-42H2,1-5H3/b17-15-,18-16-,23-21-,39-36-;1
HMDB0008226;PC(18:3(9Z,12Z,15Z)/P-18:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-43(42-52-53(47,48)51-40-38-45(3,4)5)41-50-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,36,39,43H,6-8,10,12-14,16,18-20,22,24-35,37-38,40-42H2,1-5H3/b11-9-,17-15-,23-21-,39-36-;1
HMDB0008591;PC(22:2(13Z,16Z)/14:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-26-17-15-13-11-9-7-2/h13-16,19-20,42H,6-12,17-18,21-41H2,1-5H3/b15-13-,16-14-,20-19-/t42-/m1/s1;1
HMDB0007921;PC(14:1(9Z)/22:2(13Z,16Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-17-15-13-11-9-7-2/h13-16,19-20,42H,6-12,17-18,21-41H2,1-5H3/b15-13-,16-14-,20-19-/t42-/m1/s1;1
HMDB0008397;PC(20:3(8Z,11Z,14Z)/16:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h14,16,20-21,23,25,42H,6-13,15,17-19,22,24,26-41H2,1-5H3/b16-14-,21-20-,25-23-/t42-/m1/s1;1
HMDB0008332;PC(20:2(11Z,14Z)/16:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h14,16-17,19-21,42H,6-13,15,18,22-41H2,1-5H3/b16-14-,19-17-,21-20-/t42-/m1/s1;1
HMDB0008364;PC(20:3(5Z,8Z,11Z)/16:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-24-19-17-15-13-11-9-7-2/h20-21,23,25,28,30,42H,6-19,22,24,26-27,29,31-41H2,1-5H3/b21-20-,25-23-,30-28-/t42-/m1/s1;1
HMDB0007981;PC(16:0/20:3(8Z,11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16,20-21,23,25,42H,6-13,15,17-19,22,24,26-41H2,1-5H3/b16-14-,21-20-,25-23-/t42-/m1/s1;1
HMDB0008012;PC(16:1(9Z)/20:2(11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16-17,19-21,42H,6-13,15,18,22-41H2,1-5H3/b16-14-,19-17-,21-20-/t42-/m1/s1;1
HMDB0007980;PC(16:0/20:3(5Z,8Z,11Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h20-21,23,25,29,31,42H,6-19,22,24,26-28,30,32-41H2,1-5H3/b21-20-,25-23-,31-29-/t42-/m1/s1;1
HMDB0008168;PC(18:3(6Z,9Z,12Z)/18:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16,20,22,26,28,42H,6-13,15,17-19,21,23-25,27,29-41H2,1-5H3/b16-14-,22-20-,28-26-/t42-/m1/s1;1
HMDB0008137;PC(18:2(9Z,12Z)/18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16,20-23,42H,6-13,15,17-19,24-41H2,1-5H3/b16-14-,22-20-,23-21-/t42-/m1/s1;1
HMDB0008136;PC(18:2(9Z,12Z)/18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14,16-17,19-20,22,42H,6-13,15,18,21,23-41H2,1-5H3/b16-14-,19-17-,22-20-/t42-/m1/s1;1
HMDB0008105;PC(18:1(9Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,42H,6-14,16,18-19,24-41H2,1-5H3/b17-15-,22-20-,23-21-/t42-/m1/s1;1
HMDB0008040;PC(18:0/18:3(6Z,9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,27,29,42H,6-14,16,18-20,22,24-26,28,30-41H2,1-5H3/b17-15-,23-21-,29-27-/t42-/m1/s1;1
HMDB0008072;PC(18:1(11Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15-18,21,23,42H,6-14,19-20,22,24-41H2,1-5H3/b17-15-,18-16-,23-21-/t42-/m1/s1;1
HMDB0008201;PC(18:3(9Z,12Z,15Z)/18:0);Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,42H,6-7,9,11-13,15,17-19,21,23-41H2,1-5H3/b10-8-,16-14-,22-20-/t42-/m1/s1;1
HMDB0008041;PC(18:0/18:3(9Z,12Z,15Z));Glycerophospholipids;Acid;InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,42H,6-8,10,12-14,16,18-20,22,24-41H2,1-5H3/b11-9-,17-15-,23-21-/t42-/m1/s1;1
HMDB0011301;PC(P-18:1(11Z)/P-18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-48-42-44(43-51-52(46,47)50-41-38-45(3,4)5)49-40-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16,18,21,23,36-37,39-40,44H,6-15,17,19-20,22,24-35,38,41-43H2,1-5H3/b18-16-,23-21-,39-36-,40-37-/t44-/m1/s1;1
HMDB0011300;PC(P-18:1(11Z)/P-18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-48-42-44(43-51-52(46,47)50-41-38-45(3,4)5)49-40-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16-19,36-37,39-40,44H,6-15,20-35,38,41-43H2,1-5H3/b18-16-,19-17-,39-36-,40-37-/t44-/m1/s1;1
HMDB0011333;PC(P-18:1(9Z)/P-18:1(11Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-48-42-44(43-51-52(46,47)50-41-38-45(3,4)5)49-40-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19-20,22,36-37,39-40,44H,6-16,18,21,23-35,38,41-43H2,1-5H3/b19-17-,22-20-,39-36-,40-37-/t44-/m1/s1;1
HMDB0011334;PC(P-18:1(9Z)/P-18:1(9Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-48-42-44(43-51-52(46,47)50-41-38-45(3,4)5)49-40-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h20-23,36-37,39-40,44H,6-19,24-35,38,41-43H2,1-5H3/b22-20-,23-21-,39-36-,40-37-/t44-/m1/s1;1
HMDB0008357;PC(20:2(11Z,14Z)/P-16:0);Glycerophospholipids;Acid;InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)50-41-43(42-52-53(47,48)51-40-38-45(3,4)5)49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,36,39,43H,6-13,15,17-19,21,23-35,37-38,40-42H2,1-5H3/b16-14-,22-20-,39-36-;1
HMDB0011217;PC(P-16:0/20:2(11Z,14Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,36,39,43H,6-13,15,17-19,21,23-35,37-38,40-42H2,1-5H3/b16-14-,22-20-,39-36-/t43-/m1/s1;1
HMDB0013429;PC(O-18:1(9Z)/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,43H,6-14,16,18-19,24-42H2,1-5H3/b17-15-,22-20-,23-21-/t43-/m1/s1;1
HMDB0011244;PC(P-18:0/18:2(9Z,12Z));Glycerophospholipids;Acid;InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,36,39,43H,6-14,16,18-20,22,24-35,37-38,40-42H2,1-5H3/b17-15-,23-21-,39-36-/t43-/m1/s1;1
